JAMUNAOIL,04-08-2008,65.9,66.79,63.66,64.5,15.7,183372,5114668,6337,3.11
JANATAINS,04-08-2008,5.66,5.86,5.65,5.71,237.8,8272,6930937,14711,-0.98
KARNAPHULI,04-08-2008,19.94,20.14,19.69,19.82,74.7,128671,4932741,14284,-0.73
KAY&QUE,04-08-2008,29.52,30,27.83,28.64,25.5,56700,5687183,5401,0.12
KEYACOSMET,04-08-2008,34.67,35.86,33.9,34.06,18.4,2586186,6037105,10517,0.85
LAFSURCEML,04-08-2008,32.17,33.05,32.06,32.64,56.7,781505,5029007,9065,-0.42
LANKABAFIN,04-08-2008,41.53,42.05,40.37,41.26,39.1,2145082,6153254,12387,0.06
LEGACYFOOT,04-08-2008,15.77,15.77,15.23,15.53,72,85378,5138073,13461,-0.78
LINDEBD,04-08-2008,310.1,317.5,302.7,308.9,515.9,59500,6671851,4132,-0.4
MEGCONMILK,04-08-2008,8,8,7.7,7.7,8.2,2500,4463085,14993,-0.06
MEGHNACEM,04-08-2008,39,39,37.5,38.1,10.4,86000,4795128,3894,2.66
MEGHNALIFE,04-08-2008,69.19,81.4,69.19,77.27,153.3,173219,4393048,6500,-0.5
MERCANBANK,04-08-2008,8.95,8.99,8.69,8.93,115.75,372371,4209771,9807,-0.92
MERCINS,04-08-2008,10.44,10.44,10.01,10.08,17.2,179379,6158568,2917,-0.41
METROSPIN,04-08-2008,6.03,6.03,5.83,5.9,26.1,63008,4559005,3827,-0.77
MIDASFIN,04-08-2008,23.02,23.47,22.59,22.85,86,100416,6460884,4022,-0.73
MIRACLEIND,04-08-2008,27.12,27.12,25.91,26.09,29.2,119814,4550031,9099,-0.11
MITHUNKNIT,04-08-2008,9.25,9.83,9.11,9.41,61.75,33217,5339252,6359,-0.85
MONNOCERA,04-08-2008,20,20,19.35,19.75,55,3375,4595835,7149,-0.64
MPETROLEUM,04-08-2008,60.92,61.9,59.3,59.72,63,179891,5404434,6871,-0.05
MTBL,04-08-2008,15.45,15.74,15.41,15.43,291.5,132007,5528396,7317,-0.95
NATLIFEINS,04-08-2008,71.91,71.91,71.81,71.82,17,3458,4338494,5000,3.22
NBL,04-08-2008,13.52,13.56,13.22,13.44,69.2,1798078,5636984,7898,-0.81
NCCBANK,04-08-2008,12.65,12.86,12.53,12.68,12.3,931803,6820818,9585,0.03
NITOLINS,04-08-2008,24.37,24.39,23.68,23.85,260.75,132834,5276613,4987,-0.91
NPOLYMAR,04-08-2008,135.91,135.91,127.04,131.93,49.3,5175,5026262,9561,1.68
NTLTUBES,04-08-2008,129.65,129.65,126.28,127.66,856.1,47124,4854432,9180,-0.85
OLYMPIC,04-08-2008,6.37,6.42,6.25,6.28,29.6,349313,6660772,2900,-0.79
ONEBANKLTD,04-08-2008,9.86,10.17,9.69,9.76,226.4,293642,4164807,13476,-0.96
ORIONINFU,04-08-2008,16.23,16.4,15.63,15.85,16.3,151000,6510242,3292,-0.03
PADMAOIL,04-08-2008,88.89,88.89,86.7,87.16,81.4,63788,4384818,3117,0.07
PARAMOUNT,04-08-2008,13.34,13.34,12.76,12.88,36.5,157415,5297917,6505,-0.65
PEOPLESINS,04-08-2008,25.28,25.28,24.53,24.86,24.4,58374,6936974,10217,0.02
PHARMAID,04-08-2008,52.6,56,52.58,53.5,111.25,5250,5880155,9765,-0.52
PHENIXINS,04-08-2008,18.98,19.18,18.58,19.01,181.3,72056,4608897,14325,-0.9
PHOENIXFIN,04-08-2008,17.79,17.79,17.29,17.41,46.6,246402,5823660,11056,-0.63
PIONEERINS,04-08-2008,15.67,16.24,15.22,15.75,6.3,8776,6975162,8574,1.5
PLFSL,04-08-2008,10.96,10.96,10.27,10.35,71.3,662865,4787367,8761,-0.85
POPULARLIF,04-08-2008,90.79,90.79,89.04,89.86,6.8,10277,6246371,13216,12.21
POWERGRID,04-08-2008,39.61,39.61,38.82,39.19,285.9,120175,5331087,1632,-0.86
PRAGATIINS,04-08-2008,55.78,57.5,53.41,53.81,53.2,153834,6818987,1768,0.01
PRAGATILIF,04-08-2008,175.38,176.98,172.19,174.96,59.6,87181,6547543,5632,1.94
PREMIERBAN,04-08-2008,7.94,8.05,7.15,7.66,238.1,1530321,6059517,8327,-0.97
PREMIERLEA,04-08-2008,8.69,8.69,8.59,8.63,100.1,247762,4046390,12312,-0.91
PRIMEBANK,04-08-2008,19.05,19.32,19.05,19.17,6.2,117117,5541427,11013,2.09
PRIMEFIN,04-08-2008,18.56,18.9,17.9,18.38,24.5,1265423,6333836,4715,-0.25
PRIMEINSUR,04-08-2008,10.14,10.26,10.14,10.23,26.5,17366,5841973,9118,-0.61
PRIMELIFE,04-08-2008,109.55,109.55,101.28,105.4,27.7,74100,5255163,12821,2.81
PRIMETEX,04-08-2008,13.2,13.4,13.2,13.32,113.9,27500,6143795,9751,-0.88
PROGRESLIF,04-08-2008,69.25,70.41,67.4,67.97,23.9,23392,4642556,2208,1.84
PUBALIBANK,04-08-2008,17.82,17.82,17.05,17.45,45.3,559966,5163996,12556,-0.61
PURABIGEN,04-08-2008,4.74,4.74,4.4,4.55,32.7,13778,6383200,10983,-0.86
QSMDRYCELL,04-08-2008,24.11,24.5,23.25,23.59,24.2,365033,6633594,12799,-0.03
RAHIMAFOOD,04-08-2008,4.8,4.97,4.8,4.88,14,4000,6611585,8769,-0.65
RAHIMTEXT,04-08-2008,24.73,24.73,24.73,24.73,63.6,69,4641391,13603,-0.61
RANFOUNDRY,04-08-2008,69.4,69.4,66.2,68.2,49.7,70500,4051408,11964,0.37
RECKITTBEN,04-08-2008,451,464,440,448.6,24.3,2350,6674057,11542,17.46
RELIANCINS,04-08-2008,26.51,26.51,25.46,26.17,9.6,11545,4069499,9142,1.73
RENATA,04-08-2008,295.22,296.52,293.58,294.89,77.1,11868,5311753,12507,2.82
RENWICKJA,04-08-2008,40,40,40,40,1047.8,400,5985964,2722,-0.96
RUPALIINS,04-08-2008,20.98,20.98,20.14,20.32,73.8,46121,6458872,9076,-0.72
SAIHAMTEX,04-08-2008,4.33,4.48,4.33,4.46,22.9,2901,5946383,13161,-0.81
SALAMCRST,04-08-2008,26.33,26.33,25.13,25.39,37,687333,5511370,6563,-0.31
SANDHANINS,04-08-2008,33.13,33.19,32.06,32.24,95.6,150500,6176334,5488,-0.66
SHAHJABANK,04-08-2008,10.4,10.49,10.19,10.34,8.2,813320,6409695,4385,0.26
SHYAMPSUG,04-08-2008,12,12,12,12,97.25,400,6919241,6114,-0.88
SIBL,04-08-2008,10.67,10.82,10.43,10.52,7.7,2214402,4596299,4184,0.37
SINGERBD,04-08-2008,89.28,89.28,86.4,87.9,13.5,46875,6525760,13459,5.51
SINOBANGLA,04-08-2008,23.47,23.73,23.33,23.47,258.1,19500,4682530,5876,-0.91
SONARBAINS,04-08-2008,10,10,9.76,9.85,17.9,62312,6898133,13517,-0.45
SONARGAON,04-08-2008,10.33,10.38,10.29,10.32,25.4,8663,5306956,4646,-0.59
SOUTHEASTB,04-08-2008,14.4,14.43,14.3,14.41,16.7,280559,6139670,6924,-0.14
SQUARETEXT,04-08-2008,57.54,58.33,56.01,56.23,69.1,771625,6090442,4821,-0.19
SQURPHARMA,04-08-2008,76.45,76.81,74.97,75.08,101.8,1339103,4966096,3397,-0.26
STANCERAM,04-08-2008,16.67,16.67,16.29,16.6,36.75,11550,6371506,13475,-0.55
STANDBANKL,04-08-2008,8.95,8.95,8.77,8.88,38.6,514983,5302946,10205,-0.77
STYLECRAFT,04-08-2008,180.4,180.4,180,180.13,14.3,300,5911641,7669,11.6
SUMITPOWER,04-08-2008,19.21,19.44,18.77,19.1,1117.8,662176,6582629,9243,-0.98
TITASGAS,04-08-2008,24.93,25.8,24.42,25.02,410.25,364403,5246972,8264,-0.94
TRUSTBANK,04-08-2008,20.77,21.1,20.51,20.87,7.7,299056,5537305,1908,1.71
UCBL,04-08-2008,55.31,55.99,53.7,54.18,28,1235919,6978345,1889,0.94
ULC,04-08-2008,13.62,13.62,12.93,13.22,28.1,347992,4894211,3383,-0.53
UNIONCAP,04-08-2008,33.19,33.79,31.72,32.89,32,975506,6508135,5438,0.03
UNITEDINS,04-08-2008,26.63,26.66,26.33,26.52,15,3221,6057235,2763,0.77
USMANIAGL,04-08-2008,126.79,126.79,124.98,125.46,44.8,10359,5063401,2656,1.8
UTTARABANK,04-08-2008,58.52,59.24,58.48,58.79,171.8,1227445,5626115,4879,-0.66
UTTARAFIN,04-08-2008,23.13,23.15,22.32,22.55,31.7,383526,6595589,3365,-0.29
ZEALBANGLA,04-08-2008,15.7,15.7,15.4,15.5,24.1,4700,5347142,12826,-0.36
